gene	exprs	cell_type
RAMAC	23.5	hNK
RAMACL	23.5	hNK
TRPT1	36	teNK
GALE	24.25	hNK
JMJD7-PLA2G4B	17.75	teNK
PLA2G4B	17.75	teNK
LZTS1	6.5	teNK
BIVM	26	hNK
BIVM-ERCC5	26	hNK
IFI35	298.25	hNK
U2SURP	3645	teNK
RANBP17	16.75	teNK
EFCAB7	107.5	teNK
TROVE2	360.25	teNK
SCARB1	13	hNK
MEGF10	2	hNK
ZNF34	17	teNK
HIST2H2AB	23	hNK
RPN1	903	hNK
LMTK3	3.5	hNK
MITF	30.25	teNK
CCDC169	1.5	hNK
COMT	168.5	hNK
ZNHIT1	71.5	hNK
LAGE3	76	hNK
VPS51	32.75	teNK
MAB21L2	2	hNK
RDH16	6.75	hNK
PTCD2	242.75	hNK
BSPRY	80.5	teNK
HSD17B7	59.75	hNK
SLCO5A1	6.5	teNK
PTGER2	42.25	hNK
TRIM47	4.5	teNK
MND1	5	hNK
UCHL5	592.25	teNK
SNORA61	10	hNK
TMPRSS9	2.25	teNK
CLOCK	706	hNK
BCOR	1594.75	hNK
PPP2CB	804.5	teNK
PCNX1	673	hNK
DEDD2	679	hNK
GPD1	2.5	hNK
GNPDA2	492.5	hNK
CACNG8	10.75	teNK
MTSS1	47.75	hNK
TRAF3IP1	136.25	hNK
CEP76	245.5	teNK
ATRNL1	41	hNK
RMDN3	249.25	teNK
SNF8	359.25	teNK
HLA-A	4.75	teNK
HLA-B	4.75	teNK
HLA-C	4.75	teNK
HLA-E	4.75	teNK
HLA-F	4.75	teNK
HLA-G	4.75	teNK
CERS2	2287.5	teNK
IGIP	107.25	teNK
FBXL14	1193.25	teNK
UBE3D	10.5	hNK
MFSD9	31.5	hNK
MEGF11	1.5	hNK
ALCAM	383.5	teNK
TMEM219	121.75	hNK
CDC73	1996.5	teNK
CUL2	514.75	hNK
MLH1	432.5	teNK
RNU6-638P	52	teNK
EAF1	531	hNK
WDR11	113.25	teNK
RBPMS	930.5	teNK
EIF4A3	690.5	hNK
COX19	90.75	hNK
SMARCAL1	283.5	hNK
APOLD1	3.5	hNK
YY1	2611.5	teNK
HIF1A	1207.25	hNK
FYTTD1	921.5	teNK
THEM6	80	teNK
RER1	728.25	hNK
SNORA79	2	teNK
SF3A2	265.25	hNK
TGFBR3L	19	hNK
MPLKIP	1.75	hNK
GUF1	440.25	teNK
MID1IP1	265	hNK
DAAM1	225	teNK
TTYH2	16	hNK
KPTN	80.5	hNK
FUBP3	202.75	hNK
DLG5	2.5	hNK
RPUSD1	63.5	hNK
IK	2615.25	teNK
RNU1-112P	1.75	hNK
HSD3B7	1.5	hNK
KLC2	269	teNK
C15orf41	114.5	hNK
MRPL57	202.75	teNK
SNRNP35	51	teNK
TULP3	6.75	hNK
KLHL11	263.75	hNK
TTLL11	11.5	hNK
FASTKD1	203	teNK
ATG12	1022.5	teNK
VPS18	211.75	hNK
LAMTOR2	172.25	hNK
TOMM6	2.25	hNK
IL20RB	22.5	hNK
SYCE1	2.75	hNK
GID4	304.25	hNK
SPR	117.25	teNK
TBPL1	658.25	hNK
PIGC	262.25	hNK
TSSK4	18.75	teNK
FCGR2A	194.5	hNK
FCGR2B	194.5	hNK
FCGR2C	194.5	hNK
MT-ND5	62264	teNK
CDC5L	6.75	teNK
UBA6	887	hNK
PGD	389.75	hNK
PPM1G	1159.5	hNK
SUPT16H	3111	teNK
DNAH1	2.5	hNK
NAF1	135.5	hNK
HDHD3	12.75	teNK
ATP9A	20.75	hNK
TCEAL3	13	teNK
TCEAL5	13	teNK
TCEAL6	13	teNK
PCGF1	95	hNK
WDR91	266.5	hNK
ALDH7A1	26.75	hNK
GREB1L	2.5	teNK
KRAS	2235	teNK
ILK	1636.5	teNK
GAMT	3.75	teNK
PRKCI	194.25	hNK
BFAR	850	teNK
DSEL	46	teNK
NFKBIB	172.5	hNK
RFWD3	767.75	teNK
HERC1	4140.25	hNK
UBXN7	2324.25	teNK
REEP2	8.75	teNK
EPOP	39.25	teNK
PRPF40A	3612	teNK
UBXN2A	906.75	teNK
STK16	379.75	teNK
LRRN4	2.25	teNK
ADRM1	431.75	hNK
KYAT1	55	hNK
RFC5	408	teNK
ATP7B	2.25	teNK
ZMYND10	9.75	hNK
RPAP1	550.5	teNK
SEC63	1839	teNK
TRIM5	5	teNK
TMCC3	127.75	teNK
MAP1LC3A	86	teNK
USP34	7357.25	teNK
CDC14A	800	teNK
C2CD2L	249.75	teNK
MSANTD3	2.75	hNK
MYO15A	6.75	hNK
DDX24	2164.5	teNK
RCAN2	1.75	hNK
POLQ	138	teNK
ARHGEF39	5.75	hNK
RAB9A	328	teNK
USP15	2584.75	teNK
SLC18A1	2.5	hNK
PUS3	318.75	hNK
FZD4	27.25	teNK
MTHFSD	190.5	hNK
PCBP2	4471.75	teNK
XRCC1	190.5	hNK
CDK5RAP3	339.5	hNK
SALL3	1.25	hNK
RALGPS1	177	hNK
PPP1R3D	7.5	teNK
GPS2	578.75	hNK
FEM1C	1218.75	hNK
TMEM185A	308.5	teNK
PYROXD2	6.75	teNK
CLINT1	2505	hNK
FBXO47	9.75	teNK
PAQR7	334.25	teNK
GNMT	5	teNK
ZNF34	28	teNK
TRIQK	4.5	teNK
CSNK2A1	1436.25	hNK
CSNK2A3	1436.25	hNK
SLC25A44	323.5	teNK
CCDC154	6.25	teNK
AGO3	511.75	hNK
RPA1	1491.75	teNK
SPIN2A	36.75	hNK
SPIN2B	36.75	hNK
REV1	364	hNK
ZNF34	4.75	hNK
CAMK1D	594.5	hNK
METTL17	447	teNK
RALGAPA1	2078.75	hNK
ACOX3	861.5	teNK
TMEM208	209.25	hNK
RGL1	454.5	hNK
DUSP23	20	teNK
COP1	957.5	hNK
PYGO2	384.25	teNK
TST	14.5	hNK
PPP2R5D	349.25	hNK
FEN1	404.5	teNK
SDHAF3	47	hNK
HDAC5	710.75	teNK
SPRTN	814.25	teNK
BYSL	134.75	hNK
SV2A	16.25	teNK
HYAL1	15.5	teNK
FAM20A	2.75	teNK
SKP1	1872.5	teNK
GTF2E1	223.75	hNK
TMEM106C	48	hNK
ZNF845	88	hNK
MFAP1	484.75	hNK
DIRC2	221.5	teNK
ACAA1	4.25	hNK
MLST8	93.5	hNK
MTR	620.25	hNK
ANKRD24	25.75	hNK
FNIP2	254	teNK
PRAMEF1	825.5	teNK
PRAMEF10	825.5	teNK
PRAMEF11	825.5	teNK
PRAMEF12	825.5	teNK
PRAMEF13	825.5	teNK
PRAMEF14	825.5	teNK
PRAMEF15	825.5	teNK
PRAMEF17	825.5	teNK
PRAMEF18	825.5	teNK
PRAMEF19	825.5	teNK
PRAMEF2	825.5	teNK
PRAMEF20	825.5	teNK
PRAMEF25	825.5	teNK
PRAMEF26	825.5	teNK
PRAMEF27	825.5	teNK
PRAMEF33	825.5	teNK
PRAMEF4	825.5	teNK
PRAMEF5	825.5	teNK
PRAMEF6	825.5	teNK
PRAMEF7	825.5	teNK
PRAMEF8	825.5	teNK
PRAMEF9	825.5	teNK
MOK	1.25	hNK
ZBTB49	263.75	teNK
ABHD14A	7	hNK
SF3B6	704.5	hNK
OAZ2	99.5	hNK
PRPSAP2	503.5	teNK
RPS6KB1	805.25	hNK
POP7	82.75	hNK
KRT18	1.75	hNK
FSTL3	11.75	teNK
NUDT7	134	hNK
ZNF45	31.25	hNK
DOC2A	2.75	teNK
KLRC4	1498.5	hNK
KLRC4-KLRK1	1498.5	hNK
CLPTM1	1016.75	hNK
MS4A4A	3	teNK
MS4A4E	3	teNK
MOSPD3	160	teNK
OR6B2	1.25	hNK
OR6B3	1.25	hNK
RTL5	36.75	teNK
TDRP	2.5	hNK
USP9X	3230.5	hNK
MLYCD	134.25	hNK
NELFCD	253	hNK
KCNU1	2	teNK
GOLPH3L	386.5	hNK
WDR27	2.25	hNK
C19orf53	433	teNK
EIF2A	1031.5	teNK
WDR49	31.25	teNK
SLX1A	81.5	teNK
SLX1B	81.5	teNK
CDH17	24	teNK
PHF6	1513.25	teNK
BACE1	5.25	teNK
CCDC146	2.5	teNK
RNF6	1387.5	teNK
MT1X	6.5	teNK
PDZD3	2	teNK
GLYCTK	20	teNK
FUS	3688.25	teNK
SARM1	9.25	hNK
AGTPBP1	1121.25	teNK
CEP44	283.5	teNK
CLN8	36.5	hNK
MPI	105.75	teNK
GLO1	314.5	hNK
PAIP1	790.75	teNK
METTL6	287	hNK
INTS8	1375.5	teNK
CENPV	14.75	hNK
DYNLRB1	695.75	teNK
FAM120C	312.25	teNK
VTI1B	410.75	hNK
FKTN	213	hNK
POLR3B	835	hNK
ZKSCAN7	98.25	hNK
BEND5	7	hNK
SLC25A11	583.25	teNK
MAOA	3.25	hNK
PLPP2	58.5	hNK
TNFRSF13C	58.75	teNK
CD28	1103	teNK
BAD	46	hNK
ZNF233	8	hNK
ABHD14B	20	teNK
PKNOX1	806.5	hNK
THNSL1	27.25	teNK
NF1	566.5	hNK
POLR2C	204.25	hNK
RAB6A	1493.75	hNK
SLC25A5	1640.25	hNK
TCF3	949.25	teNK
RALBP1	1361.75	hNK
USHBP1	2.25	teNK
CEP68	483.75	teNK
EIF3J	237.75	teNK
ADNP	78.75	teNK
CCDC66	405	hNK
SHC1	985.75	teNK
NAA16	914	teNK
FUT10	37	hNK
DDHD1	1231.25	teNK
DENND1A	717	teNK
RAD51D	340.75	teNK
RTN4IP1	67	hNK
IP6K2	749	teNK
FADS1	78	teNK
P4HTM	20.5	hNK
WDR82	1736.25	hNK
STOML2	203.5	hNK
TNPO3	1261.75	hNK
MAT2A	1986	teNK
MUM1L1	2.25	hNK
ELOVL4	6.75	teNK
PPA2	197.75	hNK
LFNG	4528.75	teNK
PTDSS2	81	hNK
NXNL2	1.75	hNK
IDUA	126.75	hNK
SMG6	1696	teNK
USP21	238.75	hNK
TMEM268	140.75	teNK
GPN2	71	hNK
RMI1	405.75	teNK
TMEM160	187	teNK
TMEM248	1184.25	teNK
WRAP53	139.25	hNK
AKR1E2	38.75	hNK
TJP3	2	hNK
SUMO1	928.5	teNK
CHRNB1	22	hNK
NOX1	5.75	hNK
SLC39A7	9.25	hNK
FILIP1L	1000.5	hNK
GRIA3	4	teNK
ZBTB45	167	hNK
SRP54	97	hNK
MAPKAPK5	21.75	hNK
SNORD55	11.5	hNK
PAWR	6.75	teNK
ARRDC2	83	hNK
SSC5D	1.5	hNK
B4GAT1	50.5	hNK
CLUAP1	3.5	hNK
CEP128	532.75	teNK
SLCO3A1	146.75	teNK
FAM126B	408.5	hNK
MAML1	746	hNK
MCMBP	2385	teNK
PAQR5	11.5	teNK
MMP17	13.75	hNK
CETN3	647.5	hNK
MPHOSPH8	915.25	teNK
SNORD11B	3	hNK
NPM2	2.5	teNK
PHKA1	305.25	teNK
NRBF2	217.5	teNK
PERP	3.25	hNK
HASPIN	310.75	teNK
ANKRD27	720.75	teNK
ACAA1	158.5	hNK
BEX3	169.75	hNK
LXN	5.75	hNK
NDUFB11	680.25	teNK
RAB11FIP2	249.75	teNK
HOXA4	1.75	hNK
PLEKHM2	369	teNK
TM2D3	248	teNK
MARCH7	3674.5	teNK
AAAS	427	teNK
RLIM	2089.75	hNK
TEC	1121.25	teNK
RSBN1	2332	teNK
LEPROT	512.75	teNK
BPNT1	181.5	teNK
ZBED4	155	hNK
IL2	12.75	teNK
NUP93	414	hNK
ATP6V0C	305.5	hNK
SV2C	4	hNK
VPS45	147.75	hNK
DDX23	2075	teNK
MINOS1	646.75	teNK
APOOL	207.25	teNK
SFXN1	1036.75	teNK
ERFE	9.75	teNK
GATB	82.75	hNK
LGALSL	180.75	hNK
COQ4	26	hNK
ATM	2812.25	teNK
NSD1	7839.25	teNK
EIF2S3	1289.5	teNK
EIF2S3B	1289.5	teNK
EXOC1	1501	teNK
ARFGAP2	740.25	hNK
RABL3	114	hNK
PI16	3	teNK
VPREB1	4	teNK
PRRT3	1.5	hNK
RNU6-1004P	10.75	teNK
RNU6-1213P	10.75	teNK
PAICS	867.25	hNK
CCDC18	49.5	teNK
STK17B	6247.75	hNK
SNORA80C	20	teNK
SNORA80D	20	teNK
SNORA80E	20	teNK
TVP23A	6	teNK
ARFIP2	147	hNK
BHLHA15	5.25	teNK
OGDH	2206.25	hNK
TRAPPC9	491.5	teNK
UBQLN1	2116.25	teNK
MAN2A2	398	hNK
FUCA2	672.75	hNK
GNG10	15.75	hNK
PHC3	2798.5	teNK
PBX4	4.75	teNK
VPS37A	1187.5	teNK
TMEM158	32.25	hNK
SCIN	2.25	teNK
SAMD4B	666.75	teNK
ANKRD23	7.75	hNK
PLCL1	5.25	teNK
BAIAP3	1.75	hNK
JMJD4	253.25	hNK
TXNDC17	453.25	teNK
RAVER1	12.5	hNK
LSM1	247	hNK
LIG1	682	teNK
SLC16A4	9.25	teNK
LCT	1.75	hNK
CEP120	2196	teNK
TYMP	4	hNK
SERINC1	2151.5	hNK
RABGEF1	355.75	hNK
ITFG1	696.5	hNK
DDC	11	teNK
HIP1R	2114	teNK
CUL4A	806.75	teNK
RBBP9	106.5	teNK
SMO	15.5	teNK
SCTR	1.5	hNK
ACOT9	1.5	hNK
DHX32	274.25	teNK
ASAH1	154.75	hNK
SMARCC1	1556	hNK
ETHE1	29.25	hNK
BMP1	3	teNK
AGAP3	445	teNK
CPSF2	969.75	teNK
KDM4B	656.75	teNK
PMS2	385	hNK
ANKRD13C	1408.25	teNK
HTRA3	7.5	hNK
DAND5	23.75	hNK
TWISTNB	587.5	hNK
FEZ2	194.75	hNK
ARF1	1700.5	hNK
DOCK5	2364.75	hNK
TRMU	107	teNK
IRGQ	238.75	hNK
PLRG1	486.5	hNK
SPDYE1	1.5	hNK
SPDYE16	1.5	hNK
SPDYE2	1.5	hNK
SPDYE2B	1.5	hNK
SPDYE3	1.5	hNK
SPDYE4	1.5	hNK
SPDYE5	1.5	hNK
SPDYE6	1.5	hNK
PUF60	1140	hNK
MSI2	1357.5	teNK
MMADHC	240.25	hNK
VPS4B	1461.5	hNK
ENPP2	2.75	teNK
ATP6V1FNB	17.5	teNK
VPS35L	762	hNK
TIMM23	10.25	teNK
TIMM23B	10.25	teNK
UBE2Z	691	hNK
PPM1B	2368	teNK
RNU6-1047P	7.5	teNK
RNU6-272P	7.5	teNK
SLFN12	6	teNK
SLFN12L	6	teNK
APC2	7.75	teNK
DISP1	227	hNK
MYL12B	99.25	hNK
LCORL	1150.25	teNK
ABCB1	120.5	hNK
POMK	123	hNK
POGLUT1	335.75	teNK
NUDT19	239	teNK
PRAF2	47.25	hNK
RNF7	401.5	teNK
LRRC59	655.5	hNK
ELOA	1632.5	teNK
ATG4C	4.5	teNK
RRAGC	686	hNK
RFC3	199	teNK
MIR32	1.25	hNK
EPB41L3	8	teNK
SHISA4	2.5	teNK
RBM22	965.5	hNK
MZF1	7.25	hNK
RELL2	10.25	hNK
SLC25A22	109.75	hNK
ADPRH	252.75	hNK
RTF2	991.75	teNK
SCFD1	1522.5	teNK
WDR48	1386	teNK
RAB4B	20	hNK
RAB4B-EGLN2	20	hNK
GPC2	6.25	teNK
ARMC6	148.5	teNK
CNTF	4.75	teNK
SLC38A6	104.25	hNK
GSTA5	1.75	hNK
IFFO2	102.5	hNK
CASK	95.25	teNK
SNORD61	16.25	hNK
TRIM45	18	teNK
MT-ND3	28.5	teNK
RNU6-1204P	8	teNK
RNU6-440P	8	teNK
CEP19	109.75	teNK
SERPINA3	15	teNK
ACAD10	28.5	hNK
CD63	6.5	teNK
C17orf80	225.25	teNK
SAG	20.5	hNK
NUMA1	7391	teNK
BAP1	921.25	teNK
NETO2	36	hNK
BRD8	1044.75	hNK
PIK3CD	5503.5	teNK
IGFALS	3.75	teNK
P2RX4	81.75	hNK
RNA5SP506	8.75	hNK
REPS2	2.5	teNK
WDR83	186.25	teNK
KHK	39.25	hNK
ZBTB34	266.75	teNK
PGBD1	3.5	hNK
SLC16A7	51	teNK
C7orf57	1.25	hNK
MYORG	1.5	hNK
DEPDC5	802.75	teNK
RNF219	172.5	hNK
PSENEN	307.75	hNK
JPH1	1.5	hNK
DNAL1	12	teNK
SCAF1	560.5	hNK
HCN3	1.75	hNK
POLR2B	1369.75	hNK
FAM32A	804	teNK
DIDO1	1900.25	hNK
MPC1	143.75	hNK
EDC3	388.75	hNK
TMEM231	13.75	teNK
MYO1B	11.25	hNK
PRRG4	11	hNK
TMEM37	301.75	teNK
PCDH1	2.25	hNK
CSNK1G3	1681.75	teNK
SRP54	50.25	teNK
HIPK4	2.25	teNK
PPIL6	3.75	hNK
NCBP1	708.75	hNK
COPS7B	142.5	hNK
OAZ3	8.25	teNK
URI1	799	hNK
GPN3	226.75	hNK
FUT7	15.5	hNK
DMXL2	18.75	teNK
HUS1B	19	teNK
QARS	659.5	hNK
WDR20	623.25	teNK
DNHD1	25	hNK
TMEM126A	311	teNK
MON1A	213.25	teNK
PCDHGB1	3.5	hNK
SH3GLB1	3345	teNK
PVR	500	teNK
SNRNP25	54.25	hNK
SFT2D2	943.25	hNK
HOXA3	6.75	teNK
NR1D1	7.25	hNK
BMPR1A	14.5	teNK
TUBA1C	357	hNK
PRPF40B	36	hNK
AHCYL1	1523.5	teNK
POLR1D	366.75	hNK
ZNF570	220	hNK
PPM1K	652	teNK
ZNF830	397.25	teNK
ERMARD	12.75	teNK
GINS2	31.25	teNK
TNS1	17.25	teNK
VRK1	448	teNK
INVS	379	teNK
NOXO1	25.25	hNK
CLTB	179	teNK
INSIG2	223.75	hNK
AMPD2	253.5	hNK
NAXE	110	hNK
HNRNPU	8568.75	hNK
VPS4A	503.25	hNK
NEMP2	887.5	teNK
CDKN1B	2459	hNK
RNU1-67P	3.25	teNK
RNVU1-1	3.25	teNK
RNVU1-14	3.25	teNK
RNVU1-15	3.25	teNK
RNVU1-19	3.25	teNK
PKD1	815.25	hNK
DDX25	2.5	teNK
CCDC43	330.5	teNK
LRRC49	3.75	hNK
DARS	670.75	hNK
ZNF429	168	hNK
DNAJA2	1590.25	hNK
GLIPR2	388	hNK
PIGB	202	hNK
SNU13	909.5	teNK
ATG9A	266.75	hNK
TMEM206	62.5	teNK
MAPKAPK2	1630.25	teNK
WNK4	10.5	teNK
C9orf43	2.75	teNK
USP12	1314.25	teNK
TRIT1	129.5	hNK
DCAF10	830.75	teNK
SPINK9	3.5	teNK
API5	2373	teNK
NAA15	1828.75	hNK
ACTR6	208.5	teNK
STAT2	892.75	teNK
SLC25A20	218.75	hNK
MAGOH	526.5	hNK
EPHB6	83.5	hNK
PQLC1	33.25	hNK
ZC3HAV1L	87.25	teNK
BCAR1	3	teNK
RANBP2	5197.5	hNK
PTPN23	418.25	hNK
TAF1D	1189	hNK
SH2D5	3.5	hNK
HIST1H1D	2676.25	hNK
PGRMC1	721.25	teNK
MYEF2	376	hNK
ORC1	31.75	hNK
COQ7	19	hNK
PATE2	5	hNK
ATP6V1G2	25	hNK
ATP6V1G2-DDX39B	25	hNK
SLC30A6	147.25	hNK
CLEC3B	8	teNK
RNF31	648.25	hNK
SNORA24	4.5	teNK
EAF2	7.75	hNK
FPGT	420.5	teNK
USF3	1462	hNK
KDSR	552.5	teNK
SBNO1	6046.75	teNK
SAMD15	5.25	hNK
TAF1C	163	hNK
ISOC2	17	hNK
SNORD121A	2.75	teNK
B3GALT5	32.5	teNK
MFSD1	415.5	hNK
USO1	2028.5	teNK
SP110	3.75	teNK
EFEMP2	9.25	hNK
ZNF678	414.5	hNK
ZNF681	414.5	hNK
ZNF682	414.5	hNK
ZNF695	414.5	hNK
ZNF724	414.5	hNK
ZNF727	414.5	hNK
ZNF736	414.5	hNK
ZNF85	414.5	hNK
RABL6	763.25	teNK
RFC4	167	teNK
ARFGEF3	3.75	hNK
ACER3	293.5	teNK
RNU6-6P	2.5	hNK
TOP3A	284.25	hNK
U2AF1L4	2.75	teNK
ERI1	1229.25	hNK
RNF214	612.25	teNK
PIDD1	135.25	hNK
GBA	639.25	hNK
ELP4	124	hNK
MXRA8	24.75	teNK
SFT2D1	101	teNK
NUP107	832	teNK
UGDH	741.25	teNK
EFCAB11	3.75	hNK
SHC4	7	hNK
MCCC2	16	hNK
CDR2	60	teNK
C9orf78	699.25	teNK
CYP4F8	23.5	teNK
EPHA1	3.75	hNK
LRRC27	9.75	teNK
CCDC152	2.25	teNK
ANKHD1	3264.25	hNK
ANKHD1-EIF4EBP3	3264.25	hNK
C16orf90	64	teNK
LDHB	1.5	hNK
RNF152	2.25	hNK
ADAMTS17	2.5	teNK
CNST	493.25	hNK
TCTN1	75.25	hNK
HSPB6	28.5	hNK
SERGEF	65.25	hNK
GFM1	444.5	teNK
FSCN3	3.75	hNK
FOXD2	52	hNK
ITM2A	661	teNK
MSRB1	129.5	teNK
DNAAF2	17	hNK
ESPNL	2	hNK
SPX	1.5	hNK
RPL29	4.75	hNK
R3HDM2	945.75	hNK
RPL17-C18orf32	2.5	hNK
EIF1B	420	teNK
ASB5	6.75	hNK
GPLD1	2.25	teNK
OTULIN	537.25	hNK
SMIM13	267.5	teNK
ACO1	403.75	hNK
ACADL	842.75	teNK
ANKRD40	652	teNK
SEC62	2653.25	teNK
USP27X	7.25	hNK
SPRY3	1.75	hNK
OR2V1	20.75	hNK
OR2V2	20.75	hNK
AP2A2	1105.25	teNK
MSS51	66.25	hNK
POC1A	39.5	teNK
MGAT2	788	hNK
DCAF12	640	hNK
LIF	8	hNK
SNORA31	5	teNK
EPS8	2.75	hNK
OFD1	515	teNK
WDR35	33.25	teNK
YIPF1	397.5	teNK
ROPN1L	6.25	hNK
SARS2	60.75	hNK
YME1L1	2316	hNK
MOCS1	169.75	teNK
RDH10	169.5	hNK
CPT2	281.5	teNK
ZNF780A	20.75	hNK
XPR1	1840	teNK
SLC43A1	4.75	teNK
TSPEAR	15.25	hNK
TADA3	348.5	teNK
ZC3H7B	477.5	hNK
PNP	96.75	teNK
KIAA1324	2	teNK
AXDND1	4.25	hNK
RNPS1	370.75	hNK
SNORA24	4.5	hNK
SIRT1	1178.25	teNK
RFK	926.5	teNK
PHLDB1	3.5	hNK
MPPED2	2	hNK
GAL3ST2	4.5	teNK
FAXDC2	5.25	hNK
MLH3	155	hNK
TMEM121B	13.75	hNK
ZNF226	39.25	teNK
SLC25A1	225.5	teNK
PEX11A	12.75	hNK
ZCCHC10	94.25	hNK
FZR1	420	teNK
FAM185A	77.25	hNK
TMEM192	283.25	teNK
YIPF5	455.25	hNK
TBXA2R	18.5	teNK
TAPBPL	501	teNK
CBR4	49.5	hNK
RWDD1	546.75	hNK
SLC2A9	60.5	teNK
SETD1B	2229.5	teNK
RNF223	3	teNK
EBP	166.75	hNK
TIGD2	619.25	hNK
NICN1	23.25	hNK
PIGF	90	teNK
CAGE1	47.5	hNK
B3GNT9	17.75	teNK
PRIM2	347.25	teNK
LZTR1	735	teNK
CDC25A	211	teNK
NR1H3	8.5	teNK
C20orf204	1.75	hNK
SYMPK	1659.25	teNK
ZNF248	21.75	teNK
CCDC51	51.25	teNK
RHOA	6023.75	hNK
PDZD11	103.75	hNK
VPS37C	214.75	teNK
DDX52	835.75	hNK
PLPBP	716.5	hNK
TMED4	258	hNK
ULK1	380.75	hNK
TERF2	415.75	hNK
HIBADH	354.75	hNK
S100A11	983.75	hNK
RNF168	580.5	teNK
TSG101	558	hNK
SNAI3	33.5	teNK
CHIA	2.25	teNK
LRRC42	63.5	hNK
COX7A2	653.5	teNK
MRAS	2.25	hNK
SUN2	2843.25	hNK
DNTTIP1	418.75	teNK
FUT4	2	hNK
RWDD3	46.5	hNK
GIPC3	1.5	hNK
CLDN15	3.5	hNK
UBR1	1831.75	hNK
THRAP3	4191.25	teNK
SOX12	5.5	hNK
NHEJ1	16.5	hNK
SNAPC4	321.25	hNK
BBS7	12.5	teNK
SRD5A3	232.75	hNK
NDUFA4	761.75	teNK
ALG12	185.75	hNK
SLC29A1	141.5	hNK
LGALS4	34.25	hNK
FKBP11	3	teNK
CACUL1	1116.75	teNK
PYGM	32.75	hNK
LETM1	582.75	hNK
INHBA	1.75	hNK
CNNM4	253.25	teNK
GRPEL1	285.25	hNK
CRYBG3	44	hNK
BCKDHB	126	teNK
ATAD2B	1782.25	hNK
ISCA2	308	teNK
KCTD5	288.5	teNK
TTC12	12.5	hNK
IGHM	1354.75	teNK
MOB2	272.75	hNK
ATG9B	3.25	teNK
TARDBP	3533	teNK
MIRLET7G	6.75	hNK
TNFRSF9	650	teNK
AIFM2	110	teNK
DUSP4	16.5	hNK
TSNAX	914.5	teNK
TSNAX-DISC1	914.5	teNK
LYPLA2	455.75	hNK
SH3BP5	26.75	hNK
MST1	2.25	hNK
SUOX	105.5	teNK
CAMK4	77	teNK
MRPS24	102	teNK
PTK2	15.75	teNK
SELPLG	10443.5	teNK
IFT81	3.75	teNK
TYW3	37.75	teNK
NEK8	51.5	hNK
IFT20	536.5	teNK
PTAR1	349.25	teNK
UBE2R2	852	hNK
MSANTD4	308.75	hNK
N4BP2L2	2586.75	hNK
DDN	1.75	hNK
CRTC1	177.75	hNK
TSN	809.5	hNK
TERB1	2	teNK
PRX	10.75	hNK
FAT1	1.5	hNK
CEP89	73.25	hNK
KIF9	18.5	teNK
RNF146	1371	teNK
GTF2E2	270.25	teNK
HOMER3	36.75	hNK
CYB5R3	535.25	hNK
UST	546.25	hNK
CCNO	6.25	hNK
ITPKC	96	hNK
HOMEZ	219.5	teNK
COQ9	134	hNK
PPT2	39.5	teNK
SRD5A1	2.25	hNK
TRDV3	3	hNK
EIF3A	5182.5	hNK
ARID2	2286.5	teNK
RNF170	108.5	hNK
RNF8	64.75	teNK
MIB1	1186.25	hNK
TXNL4A	158	hNK
HIKESHI	244	hNK
CCDC15	145	hNK
MRFAP1	1284.25	teNK
MRFAP1L1	1284.25	teNK
ZNF34	748.25	teNK
RNF2	1021.5	hNK
PSTPIP2	1.75	hNK
RIC1	1978.5	teNK
TRABD	813	teNK
CACNB4	12.75	hNK
PPIH	35	hNK
AP3M2	233.75	teNK
BRMS1L	193.25	hNK
KIFC2	86.75	teNK
FTSJ1	172	teNK
COL8A2	37.25	hNK
METAP1D	33	hNK
TBCD	403.25	teNK
RNASEH2B	117.75	hNK
CD33	2.25	teNK
SIGLEC6	2.25	teNK
MST1R	2.25	teNK
PPEF2	1.25	hNK
MTO1	206.5	hNK
ZMYND15	4.75	teNK
SGK3	242	teNK
NOXRED1	4.5	hNK
ZNF233	4	teNK
PANK1	62.25	hNK
RALA	398	hNK
ZC3H3	175.75	teNK
MAP2K7	386.75	teNK
NECAB3	4.25	teNK
TXNDC16	450.25	teNK
CASP6	198.25	teNK
RNU6-477P	8.25	teNK
RNU6-484P	8.25	teNK
USP37	1304.5	teNK
EMC2	622.5	hNK
RNU5B-1	5.75	hNK
UCP3	3.25	hNK
FLAD1	245.5	teNK
NUDC	314	hNK
KLHL35	5.5	hNK
MIR103A2	11.75	teNK
HEXIM2	13.25	hNK
ALDH4A1	26.25	hNK
KLC1	670.25	hNK
GON7	37.5	hNK
ARCN1	3063	teNK
RNF114	1012.5	hNK
AMN	3	teNK
SUSD6	1327.75	teNK
SCARNA17	2	hNK
IL6R	5.5	teNK
IL18BP	78.75	hNK
CARD14	1.75	hNK
TIFA	3.25	teNK
SEMA4G	1.5	hNK
SNORA5A	4	hNK
ATPAF1	130.25	teNK
ZNF180	687.75	teNK
SPRED3	4.25	hNK
FARS2	132.5	hNK
TEDC1	59.75	teNK
MAP3K3	885.25	hNK
OPA3	154	hNK
TMEM87B	805.5	teNK
CYP11A1	2.5	teNK
TTC9C	599.75	hNK
ERRFI1	439.5	teNK
SP110	3	teNK
AMT	6.75	hNK
CSAD	80.5	teNK
ATP6V0D2	3.75	teNK
SYCP3	24.25	teNK
TMEM70	255.25	teNK
RNF25	212.5	hNK
